item,word,exp,,AssPercent.HL.S,AssPercent.HL.P,LNSing-HS,LNSing-HP,LNPlur-HS,LNPlurP-HP,TotalHead1,HeadToLocNSS-Match1,HeadToLocNSP-Match1,TotalHead2,HeadToLocNSS-Match2,HeadToLocNSP-Match2,TotalLocNS1,LocNS1ToHeadS,LocNS1toHeadP,TotalLocNS2,LocNS2ToHeadS,LocNS2toHeadP,TotalLocNP1,LocNP1ToHeadS,LocNP1toHeadP,TotalLocNP2,LocNP2ToHeadS,LocNP2ToHeadP
118,dorm,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
119,drill,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
120,saxophone,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
121,futon,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
122,monk,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
123,saw,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
124,van,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
125,blueprint,Prop,rel,3.75,0,0,0,0,0,40,1,0,40,2,0,40,0,0,40,0,0,40,0,0,40,0,0
126,bike,Prop,rel,2.5,2.5,2.5,0,0,0,40,1,1,40,1,1,40,2,0,40,0,0,40,0,0,40,0,0
127,fort,Prop,rel,0,0,0,0,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0
128,jar,Prop,rel,11.25,0,12.5,0,6.25,3.75,40,1,0,40,8,0,40,7,0,40,3,0,40,4,2,40,1,1
129,sink,Prop,rel,0,0,8.75,0,16.25,0,40,0,0,40,0,0,40,4,0,40,3,0,40,6,0,40,7,0
130,window,Prop,rel,8.75,0,42.5,0,38.75,6.25,40,2,0,40,5,0,40,29,0,40,5,0,40,29,2,40,2,3
131,rifle,Prop,rel,0,0,0,0,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0
132,banana,Prop,rel,10,0,16.25,0,23.75,1.25,40,4,0,40,4,0,40,12,0,40,1,0,40,14,1,40,5,0
133,car,Prop,rel,0,0,25,13.75,17.5,17.5,40,0,0,40,0,0,40,14,8,40,6,3,40,11,13,40,3,1
134,dresser,Prop,rel,6.25,5,11.25,0,18.75,0,40,2,0,40,3,4,40,8,0,40,1,0,40,9,0,40,6,0
135,atlas,Prop,rel,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0
136,chain,Prop,rel,10,2.5,20,0,15,1.25,40,7,1,40,1,1,40,5,0,40,11,0,40,5,0,40,7,1
137,hose,Prop,rel,1.25,0,31.25,1.25,26.25,1.25,40,0,0,40,1,0,40,20,0,40,5,1,40,16,1,40,5,0
138,table,Prop,rel,5,2.5,2.5,0,0,0,40,0,0,40,4,2,40,1,0,40,1,0,40,0,0,40,0,0
139,tree,Prop,rel,0,0,8.75,0,11.25,2.5,40,0,0,40,0,0,40,4,0,40,3,0,40,8,0,40,1,2
140,book,Prop,rel,0,3.75,31.25,1.25,23.75,13.75,40,0,1,40,0,2,40,22,0,40,3,1,40,15,9,40,4,2
141,couch,Prop,rel,3.75,1.25,25,0,23.75,1.25,40,0,1,40,3,0,40,12,0,40,8,0,40,14,1,40,5,0
142,sneaker,Prop,rel,0,0,3.75,0,0,2.5,40,0,0,40,0,0,40,1,0,40,2,0,40,0,0,40,0,2
143,pencil,Prop,rel,0,0,27.5,0,22.5,7.5,40,0,0,40,0,0,40,14,0,40,8,0,40,12,5,40,6,1
144,backpack,Prop,rel,1.25,1.25,5,0,2.5,0,40,0,1,40,1,0,40,2,0,40,2,0,40,0,0,40,2,0
145,skeleton,Prop,rel,1.25,20,7.5,0,15,0,40,1,9,40,0,7,40,3,0,40,3,0,40,10,0,40,2,0
146,lamp,Prop,rel,5,0,3.75,0,0,0,40,0,0,40,4,0,40,0,0,40,3,0,40,0,0,40,0,0
147,canoe,Prop,rel,1.25,0,8.75,0,5,0,40,1,0,40,0,0,40,4,0,40,3,0,40,1,0,40,3,0
148,violin,Prop,rel,6.25,11.25,1.25,0,6.25,0,40,2,4,40,3,5,40,1,0,40,0,0,40,3,0,40,2,0
125,blueprint,Prop,assoc,12.5,0,0,0,0,0,40,2,0,40,8,0,20,0,0,20,0,0,20,0,0,20,0,0
126,bike,Prop,assoc,1.25,0,0,0,2.5,0,40,1,0,40,0,0,20,0,0,20,0,0,20,1,0,20,0,0
127,fort,Prop,assoc,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
128,jar,Prop,assoc,0,0,0,0,2.5,0,40,0,0,40,0,0,20,0,0,20,0,0,20,1,0,20,0,0
129,sink,Prop,assoc,0,10,0,0,0,0,40,0,3,40,0,5,20,0,0,20,0,0,20,0,0,20,0,0
130,window,Prop,assoc,1.25,1.25,2.5,2.5,15,5,40,0,1,40,1,0,20,1,0,20,0,1,20,5,1,20,1,1
131,rifle,Prop,assoc,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
132,banana,Prop,assoc,0,0,5,0,2.5,2.5,40,0,0,40,0,0,20,0,0,20,2,0,20,1,0,20,0,1
133,car,Prop,assoc,5,0,2.5,7.5,5,5,40,0,0,40,4,0,20,1,2,20,0,1,20,0,1,20,2,1
134,dresser,Prop,assoc,2.5,0,0,0,0,0,40,0,0,40,2,0,20,0,0,20,0,0,20,0,0,20,0,0
135,atlas,Prop,assoc,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0
136,chain,Prop,assoc,2.5,0,0,0,0,0,40,1,0,40,1,0,20,0,0,20,0,0,20,0,0,20,0,0
137,hose,Prop,assoc,0,0,2.5,0,0,0,40,0,0,40,0,0,20,0,0,20,1,0,20,0,0,20,0,0
138,table,Prop,assoc,0,0,2.5,0,0,0,40,0,0,40,0,0,20,1,0,20,0,0,20,0,0,20,0,0
139,tree,Prop,assoc,0,0,5,0,2.5,0,40,0,0,40,0,0,20,0,0,20,2,0,20,0,0,20,1,0
140,book,Prop,assoc,0,0,17.5,10,7.5,17.5,40,0,0,40,0,0,20,5,4,20,2,0,20,3,5,20,0,2
141,couch,Prop,assoc,1.25,0,0,0,0,0,40,0,0,40,1,0,20,0,0,20,0,0,20,0,0,20,0,0
142,sneaker,Prop,assoc,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
143,pencil,Prop,assoc,1.25,0,35,0,35,7.5,40,0,0,40,1,0,20,12,0,20,2,0,20,12,3,20,2,0
144,backpack,Prop,assoc,2.5,16.25,0,0,0,0,40,1,5,40,1,8,20,0,0,20,0,0,20,0,0,20,0,0
145,skeleton,Prop,assoc,3.75,0,0,0,0,0,40,3,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
146,lamp,Prop,assoc,2.5,0,5,0,2.5,0,40,0,0,40,2,0,20,2,0,20,0,0,20,0,0,20,1,0
147,canoe,Prop,assoc,3.75,0,0,0,0,0,40,2,0,40,1,0,20,0,0,20,0,0,20,0,0,20,0,0
148,violin,Prop,assoc,3.75,0,0,0,0,0,40,1,0,40,2,0,20,0,0,20,0,0,20,0,0,20,0,0
125,blueprint,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
126,bike,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
127,fort,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
128,jar,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
129,sink,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
130,window,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
131,rifle,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
132,banana,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,39,0,0,39,0,0,39,0,0,39,0,0
133,car,Prop,unrel,0,0,0,0,0,2.5,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,1
134,dresser,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
135,atlas,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
136,chain,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
137,hose,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
138,table,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
139,tree,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
140,book,Prop,unrel,0,0,0,5,0,20,40,0,0,40,0,0,20,0,1,20,0,1,20,0,4,20,0,4
141,couch,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
142,sneaker,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
143,pencil,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
144,backpack,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
145,skeleton,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
146,lamp,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
147,canoe,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
148,violin,Prop,unrel,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0
