subject,block,item,list,subexpt,integ,related,n2num,preamble,maincode,dysfluency,err,errd,unin,unind,misc,corr,corrd,noresp
18,22,12,2,SemRel,unint,unrel,sing,The bodyguard near the nervous jeweler,X,,0,0,0,0,1,0,0,0
18,91,20,2,SemRel,integ,unrel,plur,The hydrant with the bright reflectors,X,,0,0,0,0,1,0,0,0
30,15,23,6,SemRel,unint,unrel,sing,The canoe near the weathered flag,X,,0,0,0,0,1,0,0,0
31,20,7,7,SemRel,unint,rel,sing,The necklace near the colorful diamond,X,,0,0,0,0,1,0,0,0
31,56,22,7,SemRel,unint,unrel,plur,The trainer near the confident actors,X,,0,0,0,0,1,0,0,0
31,80,24,7,SemRel,unint,unrel,plur,The camera by the special manuals,X,,0,0,0,0,1,0,0,0
31,94,3,7,SemRel,unint,unrel,sing,The hammer by the rigid peg,X,,0,0,0,0,1,0,0,0
37,15,8,5,SemRel,integ,unrel,sing,The fortress with the ancient farm,X,,0,0,0,0,1,0,0,0
40,10,17,8,SemRel,integ,unrel,sing,The waitress for the impatient senior,X,,0,0,0,0,1,0,0,0
40,22,20,8,SemRel,integ,rel,plur,The hydrant with the bent hoses,X,,0,0,0,0,1,0,0,0
48,77,14,8,SemRel,integ,unrel,plur,The caddy for the charismatic celebrities,X,,0,0,0,0,1,0,0,0
54,46,22,6,SemRel,unint,unrel,sing,The trainer near the confident actor,X,,0,0,0,0,1,0,0,0
61,14,24,5,SemRel,unint,rel,plur,The camera by the special lenses,X,,0,0,0,0,1,0,0,0
61,22,1,5,SemRel,unint,rel,sing,The envelope by the formal letter,X,,0,0,0,0,1,0,0,0
67,54,13,3,SemRel,unint,unrel,sing,The bicycle by the warped basket,X,,0,0,0,0,1,0,0,0
73,3,11,1,SemRel,unint,rel,plur,The banana near the popular sundaes,X,,0,0,0,0,1,0,0,0
74,76,9,2,SemRel,unint,unrel,plur,The butler near the spoiled kids,X,,0,0,0,0,1,0,0,0
74,85,17,2,SemRel,unint,rel,sing,The waitress by the impatient diner,X,,0,0,0,0,1,0,0,0
76,27,22,4,SemRel,unint,rel,sing,The trainer near the confident boxer,X,,0,0,0,0,1,0,0,0
79,51,9,7,SemRel,unint,rel,sing,The butler near the selfish millionaire,X,,0,0,0,0,1,0,0,0
79,81,13,7,SemRel,integ,unrel,sing,The bicycle with the warped basket,X,,0,0,0,0,1,0,0,0
85,56,2,5,SemRel,unint,rel,sing,The cake by the colored candle,X,,0,0,0,0,1,0,0,0
88,51,11,8,SemRel,unint,rel,sing,The banana near the popular sundae,X,,0,0,0,0,1,0,0,0
88,66,15,8,SemRel,integ,unrel,plur,The church with the giant driveways,X,,0,0,0,0,1,0,0,0
88,79,3,8,SemRel,unint,unrel,plur,The hammer by the rigid pegs,X,,0,0,0,0,1,0,0,0
89,86,13,1,SemRel,unint,rel,sing,The bicycle by the warped tire,X,,0,0,0,0,1,0,0,0
94,30,20,6,SemRel,unint,unrel,plur,The hydrant near the bright reflectors,X,,0,0,0,0,1,0,0,0
94,67,14,6,SemRel,integ,rel,plur,The caddy for the charismatic golfers,X,,0,0,0,0,1,0,0,0
96,63,14,8,SemRel,integ,unrel,plur,The caddy for the charismatic celebrities,X,,0,0,0,0,1,0,0,0
98,34,13,2,SemRel,unint,rel,plur,The bicycle by the warped tires,X,,0,0,0,0,1,0,0,0
98,91,20,2,SemRel,integ,unrel,plur,The hydrant with the bright reflectors,X,,0,0,0,0,1,0,0,0
99,31,21,3,SemRel,unint,rel,sing,The guitar near the faulty string,X,,0,0,0,0,1,0,0,0
99,81,12,3,SemRel,unint,unrel,plur,The bodyguard near the nervous jewelers,X,,0,0,0,0,1,0,0,0
99,91,13,3,SemRel,unint,unrel,sing,The bicycle by the warped basket,X,,0,0,0,0,1,0,0,0
105,94,11,1,SemRel,unint,rel,plur,The banana near the popular sundaes,X,,0,0,0,0,1,0,0,0
106,72,3,2,SemRel,integ,rel,plur,The hammer for the rusty nails,X,,0,0,0,0,1,0,0,0
106,82,13,2,SemRel,unint,rel,plur,The bicycle by the warped tires,X,,0,0,0,0,1,0,0,0
110,41,2,6,SemRel,unint,rel,plur,The cake by the colored candles,X,,0,0,0,0,1,0,0,0
111,16,24,7,SemRel,unint,unrel,plur,The camera by the special manuals,X,,0,0,0,0,1,0,0,0
114,37,10,2,SemRel,unint,unrel,sing,The vase near the vibrant cover,X,,0,0,0,0,1,0,0,0
120,37,5,8,SemRel,unint,unrel,sing,The tent near the sturdy cushion,X,,0,0,0,0,1,0,0,0
122,91,23,2,SemRel,integ,unrel,sing,The canoe with the weathered flag,X,,0,0,0,0,1,0,0,0
122,93,4,2,SemRel,integ,rel,sing,The coach for the disciplined athlete,X,,0,0,0,0,1,0,0,0
128,27,15,8,SemRel,integ,unrel,plur,The church with the giant driveways,X,,0,0,0,0,1,0,0,0
129,47,8,1,SemRel,unint,unrel,sing,The fortress near the ancient farm,X,,0,0,0,0,1,0,0,0
154,9,17,2,SemRel,unint,rel,sing,The waitress by the impatient diner,X,,0,0,0,0,1,0,0,0
165,33,1,5,SemRel,unint,rel,sing,The envelope by the formal letter,X,,0,0,0,0,1,0,0,0
165,56,22,5,SemRel,unint,rel,plur,The trainer near the confident boxers,X,,0,0,0,0,1,0,0,0
166,33,22,6,SemRel,unint,unrel,sing,The trainer near the confident actor,X,,0,0,0,0,1,0,0,0
166,45,23,6,SemRel,unint,unrel,sing,The canoe near the weathered flag,X,,0,0,0,0,1,0,0,0
173,1,17,5,SemRel,unint,unrel,plur,The waitress by the impatient seniors,X,,0,0,0,0,1,0,0,0
173,49,8,5,SemRel,integ,unrel,sing,The fortress with the ancient farm,X,,0,0,0,0,1,0,0,0
174,18,17,6,SemRel,integ,rel,sing,The waitress for the impatient diner,X,,0,0,0,0,1,0,0,0
174,56,11,6,SemRel,integ,unrel,sing,The banana for the popular sandwich,X,,0,0,0,0,1,0,0,0
174,81,8,6,SemRel,integ,unrel,plur,The fortress with the ancient farms,X,,0,0,0,0,1,0,0,0
176,5,9,8,SemRel,unint,rel,plur,The butler near the selfish millionaires,X,,0,0,0,0,1,0,0,0
180,4,5,4,SemRel,integ,unrel,sing,The tent with the sturdy cushion,X,,0,0,0,0,1,0,0,0
180,61,20,4,SemRel,unint,rel,plur,The hydrant near the bent hoses,X,,0,0,0,0,1,0,0,0
180,77,24,4,SemRel,unint,rel,sing,The camera by the special lens,X,,0,0,0,0,1,0,0,0
197,77,1,5,SemRel,unint,rel,sing,The envelope by the formal letter,X,,0,0,0,0,1,0,0,0
197,90,17,5,SemRel,unint,unrel,plur,The waitress by the impatient seniors,X,,0,0,0,0,1,0,0,0
200,56,7,8,SemRel,unint,rel,plur,The necklace near the colorful diamonds,X,,0,0,0,0,1,0,0,0
200,57,3,8,SemRel,unint,unrel,plur,The hammer by the rigid pegs,X,,0,0,0,0,1,0,0,0
204,11,24,4,SemRel,unint,rel,sing,The camera by the special lens,X,,0,0,0,0,1,0,0,0
210,14,24,2,SemRel,integ,unrel,sing,The camera with the special manual,X,,0,0,0,0,1,0,0,0
210,36,13,2,SemRel,unint,rel,plur,The bicycle by the warped tires,X,,0,0,0,0,1,0,0,0
210,57,23,2,SemRel,integ,unrel,sing,The canoe with the weathered flag,X,,0,0,0,0,1,0,0,0
210,81,6,2,SemRel,integ,rel,sing,The dam for the murky river,X,,0,0,0,0,1,0,0,0
211,23,4,3,SemRel,integ,rel,plur,The coach for the disciplined athletes,X,,0,0,0,0,1,0,0,0
218,76,24,2,SemRel,integ,unrel,sing,The camera with the special manual,X,,0,0,0,0,1,0,0,0
220,69,13,4,SemRel,unint,unrel,plur,The bicycle by the warped baskets,X,,0,0,0,0,1,0,0,0
228,6,19,4,SemRel,unint,rel,plur,The resort near the elongated pools,X,,0,0,0,0,1,0,0,0
228,35,23,4,SemRel,unint,rel,sing,The canoe near the weathered oar,X,,0,0,0,0,1,0,0,0
228,60,11,4,SemRel,integ,rel,sing,The banana for the popular sundae,X,,0,0,0,0,1,0,0,0
231,13,4,7,SemRel,unint,rel,plur,The coach near the disciplined athletes,X,,0,0,0,0,1,0,0,0
231,94,16,7,SemRel,integ,rel,plur,The eraser for the novelty pencils,X,,0,0,0,0,1,0,0,0
234,43,12,2,SemRel,unint,unrel,sing,The bodyguard near the nervous jeweler,X,,0,0,0,0,1,0,0,0
236,3,3,4,SemRel,integ,unrel,plur,The hammer for the rigid pegs,X,,0,0,0,0,1,0,0,0
239,35,12,7,SemRel,integ,unrel,plur,The bodyguard for the nervous jewelers,X,,0,0,0,0,1,0,0,0
239,80,16,7,SemRel,integ,rel,plur,The eraser for the novelty pencils,X,,0,0,0,0,1,0,0,0
239,88,10,7,SemRel,integ,unrel,plur,The vase with the vibrant covers,X,,0,0,0,0,1,0,0,0
239,95,23,7,SemRel,unint,unrel,plur,The canoe near the weathered flags,X,,0,0,0,0,1,0,0,0
1,4,24,1,SemRel,integ,rel,plur,The camera with the special lenses,U,D,0,0,0,1,0,0,0,0
1,47,3,1,SemRel,integ,rel,sing,The hammer for the rusty nail,U,D,0,0,0,1,0,0,0,0
2,2,5,2,SemRel,integ,rel,sing,The tent with the sturdy pole,U,D,0,0,0,1,0,0,0,0
2,29,9,2,SemRel,unint,unrel,plur,The butler near the spoiled kids,U,D,0,0,0,1,0,0,0,0
2,73,20,2,SemRel,integ,unrel,plur,The hydrant with the bright reflectors,U,D,0,0,0,1,0,0,0,0
2,74,17,2,SemRel,unint,rel,sing,The waitress by the impatient diner,U,D,0,0,0,1,0,0,0,0
3,38,15,3,SemRel,unint,unrel,sing,The church near the giant driveway,U,D,0,0,0,1,0,0,0,0
3,41,5,3,SemRel,integ,rel,plur,The tent with the sturdy poles,U,D,0,0,0,1,0,0,0,0
4,55,14,4,SemRel,unint,unrel,plur,The caddy near the charismatic celebrities,U,D,0,0,0,1,0,0,0,0
6,15,12,6,SemRel,integ,unrel,sing,The bodyguard for the nervous jeweler,U,D,0,0,0,1,0,0,0,0
6,32,13,6,SemRel,integ,rel,plur,The bicycle with the warped tires,U,D,0,0,0,1,0,0,0,0
6,87,17,6,SemRel,integ,rel,sing,The waitress for the impatient diner,U,D,0,0,0,1,0,0,0,0
7,3,22,7,SemRel,unint,unrel,plur,The trainer near the confident actors,U,D,0,0,0,1,0,0,0,0
7,36,13,7,SemRel,integ,unrel,sing,The bicycle with the warped basket,U,D,0,0,0,1,0,0,0,0
7,70,3,7,SemRel,unint,unrel,sing,The hammer by the rigid peg,U,D,0,0,0,1,0,0,0,0
7,71,4,7,SemRel,unint,rel,plur,The coach near the disciplined athletes,U,D,0,0,0,1,0,0,0,0
7,84,18,7,SemRel,integ,rel,plur,The table for the antique chairs,U,D,0,0,0,1,0,0,0,0
7,88,15,7,SemRel,integ,unrel,sing,The church with the giant driveway,U,D,0,0,0,1,0,0,0,0
7,91,12,7,SemRel,integ,unrel,plur,The bodyguard for the nervous jewelers,U,D,0,0,0,1,0,0,0,0
9,30,22,1,SemRel,integ,rel,plur,The trainer for the confident boxers,U,D,0,0,0,1,0,0,0,0
9,55,24,1,SemRel,integ,rel,plur,The camera with the special lenses,U,D,0,0,0,1,0,0,0,0
13,1,15,5,SemRel,integ,rel,sing,The church with the giant cross,U,D,0,0,0,1,0,0,0,0
15,25,13,7,SemRel,integ,unrel,sing,The bicycle with the warped basket,U,D,0,0,0,1,0,0,0,0
19,38,3,3,SemRel,integ,unrel,sing,The hammer for the rigid peg,U,D,0,0,0,1,0,0,0,0
20,14,9,4,SemRel,integ,rel,plur,The butler for the selfish millionaires,U,D,0,0,0,1,0,0,0,0
24,35,4,8,SemRel,unint,unrel,sing,The coach near the disruptive teenager,U,D,0,0,0,1,0,0,0,0
24,41,17,8,SemRel,integ,unrel,sing,The waitress for the impatient senior,U,D,0,0,0,1,0,0,0,0
25,88,4,1,SemRel,unint,unrel,plur,The coach near the disruptive teenagers,U,D,0,0,0,1,0,0,0,0
26,78,22,2,SemRel,integ,unrel,sing,The trainer for the confident actor,U,D,0,0,0,1,0,0,0,0
27,52,13,3,SemRel,unint,unrel,sing,The bicycle by the warped basket,U,D,0,0,0,1,0,0,0,0
30,5,12,6,SemRel,integ,unrel,sing,The bodyguard for the nervous jeweler,U,D,0,0,0,1,0,0,0,0
30,79,10,6,SemRel,integ,unrel,sing,The vase with the vibrant cover,U,D,0,0,0,1,0,0,0,0
32,35,12,8,SemRel,unint,rel,sing,The bodyguard near the nervous actress,U,D,0,0,0,1,0,0,0,0
32,60,19,8,SemRel,integ,rel,plur,The resort with the elongated pools,U,D,0,0,0,1,0,0,0,0
32,94,13,8,SemRel,integ,unrel,plur,The bicycle with the warped baskets,U,D,0,0,0,1,0,0,0,0
32,95,6,8,SemRel,unint,unrel,sing,The dam by the musty factory,U,D,0,0,0,1,0,0,0,0
37,87,24,5,SemRel,unint,rel,plur,The camera by the special lenses,U,D,0,0,0,1,0,0,0,0
39,8,23,7,SemRel,unint,unrel,plur,The canoe near the weathered flags,U,D,0,0,0,1,0,0,0,0
39,44,11,7,SemRel,integ,unrel,plur,The banana for the popular sandwiches,U,D,0,0,0,1,0,0,0,0
39,67,22,7,SemRel,unint,unrel,plur,The trainer near the confident actors,U,D,0,0,0,1,0,0,0,0
43,74,1,3,SemRel,integ,unrel,sing,The envelope for the photo album,U,D,0,0,0,1,0,0,0,0
43,76,23,3,SemRel,integ,unrel,plur,The canoe with the weathered flags,U,D,0,0,0,1,0,0,0,0
45,42,7,5,SemRel,integ,unrel,sing,The necklace with the colorful feather,U,D,0,0,0,1,0,0,0,0
47,94,17,7,SemRel,integ,rel,plur,The waitress for the impatient diners,U,D,0,0,0,1,0,0,0,0
48,19,21,8,SemRel,integ,rel,plur,The guitar with the faulty strings,U,D,0,0,0,1,0,0,0,0
54,84,21,6,SemRel,unint,unrel,plur,The guitar near the faulty pedals,U,D,0,0,0,1,0,0,0,0
55,72,22,7,SemRel,unint,unrel,plur,The trainer near the confident actors,U,D,0,0,0,1,0,0,0,0
59,4,13,3,SemRel,unint,unrel,sing,The bicycle by the warped basket,U,D,0,0,0,1,0,0,0,0
61,56,15,5,SemRel,integ,rel,sing,The church with the giant cross,U,D,0,0,0,1,0,0,0,0
63,59,5,7,SemRel,unint,rel,plur,The tent near the sturdy poles,U,D,0,0,0,1,0,0,0,0
65,66,13,1,SemRel,unint,rel,sing,The bicycle by the warped tire,U,D,0,0,0,1,0,0,0,0
66,43,13,2,SemRel,unint,rel,plur,The bicycle by the warped tires,U,D,0,0,0,1,0,0,0,0
67,41,17,3,SemRel,unint,rel,plur,The waitress by the impatient diners,U,D,0,0,0,1,0,0,0,0
73,33,3,1,SemRel,integ,rel,sing,The hammer for the rusty nail,U,D,0,0,0,1,0,0,0,0
73,37,18,1,SemRel,integ,unrel,plur,The table for the antique lamps,U,D,0,0,0,1,0,0,0,0
73,68,24,1,SemRel,integ,rel,plur,The camera with the special lenses,U,D,0,0,0,1,0,0,0,0
73,76,13,1,SemRel,unint,rel,sing,The bicycle by the warped tire,U,D,0,0,0,1,0,0,0,0
73,96,5,1,SemRel,unint,unrel,plur,The tent near the sturdy cushions,U,D,0,0,0,1,0,0,0,0
78,7,21,6,SemRel,unint,unrel,plur,The guitar near the faulty pedals,U,D,0,0,0,1,0,0,0,0
78,8,1,6,SemRel,unint,rel,plur,The envelope by the formal letters,U,D,0,0,0,1,0,0,0,0
80,27,24,8,SemRel,integ,rel,sing,The camera with the special lens,U,D,0,0,0,1,0,0,0,0
87,17,10,7,SemRel,integ,unrel,plur,The vase with the vibrant covers,U,D,0,0,0,1,0,0,0,0
87,52,4,7,SemRel,unint,rel,plur,The coach near the disciplined athletes,U,D,0,0,0,1,0,0,0,0
87,65,6,7,SemRel,unint,rel,plur,The dam by the murky rivers,U,D,0,0,0,1,0,0,0,0
87,67,5,7,SemRel,unint,rel,plur,The tent near the sturdy poles,U,D,0,0,0,1,0,0,0,0
87,70,11,7,SemRel,integ,unrel,plur,The banana for the popular sandwiches,U,D,0,0,0,1,0,0,0,0
92,67,14,4,SemRel,unint,unrel,plur,The caddy near the charismatic celebrities,U,D,0,0,0,1,0,0,0,0
93,14,15,5,SemRel,integ,rel,sing,The church with the giant cross,U,D,0,0,0,1,0,0,0,0
99,20,8,3,SemRel,integ,rel,sing,The fortress with the ancient wall,U,D,0,0,0,1,0,0,0,0
99,87,17,3,SemRel,unint,rel,plur,The waitress by the impatient diners,U,D,0,0,0,1,0,0,0,0
102,33,12,6,SemRel,integ,unrel,sing,The bodyguard for the nervous jeweler,U,D,0,0,0,1,0,0,0,0
102,62,15,6,SemRel,integ,rel,plur,The church with the giant crosses,U,D,0,0,0,1,0,0,0,0
105,70,23,1,SemRel,integ,rel,plur,The canoe with the weathered oars,U,D,0,0,0,1,0,0,0,0
106,32,14,2,SemRel,unint,rel,plur,The caddy near the charismatic golfers,U,D,0,0,0,1,0,0,0,0
107,19,14,3,SemRel,unint,unrel,sing,The caddy near the charismatic celebrity,U,D,0,0,0,1,0,0,0,0
108,89,14,4,SemRel,unint,unrel,plur,The caddy near the charismatic celebrities,U,D,0,0,0,1,0,0,0,0
115,87,7,3,SemRel,integ,rel,sing,The necklace with the colorful diamond,U,D,0,0,0,1,0,0,0,0
117,6,6,5,SemRel,integ,unrel,plur,The dam for the musty factories,U,D,0,0,0,1,0,0,0,0
118,29,3,6,SemRel,unint,rel,plur,The hammer by the rusty nails,U,D,0,0,0,1,0,0,0,0
118,49,17,6,SemRel,integ,rel,sing,The waitress for the impatient diner,U,D,0,0,0,1,0,0,0,0
118,63,10,6,SemRel,integ,unrel,sing,The vase with the vibrant cover,U,D,0,0,0,1,0,0,0,0
118,82,11,6,SemRel,integ,unrel,sing,The banana for the popular sandwich,U,D,0,0,0,1,0,0,0,0
120,52,14,8,SemRel,integ,unrel,plur,The caddy for the charismatic celebrities,U,D,0,0,0,1,0,0,0,0
123,81,3,3,SemRel,integ,unrel,sing,The hammer for the rigid peg,U,D,0,0,0,1,0,0,0,0
126,44,14,6,SemRel,integ,rel,plur,The caddy for the charismatic golfers,U,D,0,0,0,1,0,0,0,0
128,30,17,8,SemRel,integ,unrel,sing,The waitress for the impatient senior,U,D,0,0,0,1,0,0,0,0
129,53,21,1,SemRel,integ,unrel,sing,The guitar with the faulty pedal,U,D,0,0,0,1,0,0,0,0
