subject,block,item,list,subexpt,integ,related,n2num,preamble,maincode,dysfluency,,err,errd,unin,unind,misc,corr,corrd
1011,136,16,3,Cat,unint,rel,plur,The kiwi beside the fake peaches,E,D,,0,1,0,0,0,0,0
1026,127,17,2,Cat,unint,unrel,sing,The motorcycle near the painted bench,E,D,,0,1,0,0,0,0,0
1057,55,6,1,Cat,unint,rel,plur,The monastery near the ancient chapels,E,D,,0,1,0,0,0,0,0
1129,129,1,1,Cat,unint,rel,plur,The fork near the plastic ladles,E,D,,0,1,0,0,0,0,0
1002,4,2,2,Cat,unint,rel,sing,The magazine under the tattered novel,C,D,,0,0,0,0,0,0,1
1007,129,3,3,Cat,unint,unrel,plur,The robin by the frightened chipmunks,C,D,,0,0,0,0,0,0,1
1011,10,15,3,Cat,unint,rel,plur,The spatula by the greasy strainers,C,D,,0,0,0,0,0,0,1
1011,55,10,3,Cat,unint,rel,sing,The kayak beside the large ferry,C,D,,0,0,0,0,0,0,1
1011,87,20,3,Cat,unint,unrel,sing,The saxophone beside the ornate pillar,C,D,,0,0,0,0,0,0,1
1012,23,3,4,Cat,unint,unrel,sing,The robin by the frightened chipmunk,C,D,,0,0,0,0,0,0,1
1014,110,18,2,Cat,unint,unrel,sing,The dorm near the new cafe,C,D,,0,0,0,0,0,0,1
1016,114,24,4,Cat,unint,rel,plur,The van near the dented taxis,C,D,,0,0,0,0,0,0,1
1017,164,21,1,Cat,unint,rel,sing,The futon near the dirty recliner,C,D,,0,0,0,0,0,0,1
1017,77,22,1,Cat,unint,rel,sing,The monk near the talkative cardinal,C,D,,0,0,0,0,0,0,1
1017,3,23,1,Cat,unint,rel,sing,The saw by the oily wrench,C,D,,0,0,0,0,0,0,1
1017,45,11,1,Cat,unint,unrel,sing,The treasurer beside the eager supporter,C,D,,0,0,0,0,0,0,1
1018,66,4,2,Cat,unint,rel,sing,The knife beside the heavy club,C,D,,0,0,0,0,0,0,1
1018,18,20,2,Cat,unint,unrel,plur,The saxophone beside the ornate pillars,C,D,,0,0,0,0,0,0,1
1020,104,18,4,Cat,unint,rel,sing,The dorm near the new condo,C,D,,0,0,0,0,0,0,1
1020,43,19,4,Cat,unint,rel,plur,The drill by the durable hammers,C,D,,0,0,0,0,0,0,1
1020,115,21,4,Cat,unint,rel,plur,The futon near the dirty recliners,C,D,,0,0,0,0,0,0,1
1020,31,2,4,Cat,unint,unrel,sing,The magazine under the tattered necklace,C,D,,0,0,0,0,0,0,1
1020,159,22,4,Cat,unint,rel,plur,The monk near the talkative cardinals,C,D,,0,0,0,0,0,0,1
1020,113,23,4,Cat,unint,rel,plur,The saw by the oily wrenches,C,D,,0,0,0,0,0,0,1
1020,101,8,4,Cat,unint,unrel,plur,The shovel near the cracked boulders,C,D,,0,0,0,0,0,0,1
1020,84,24,4,Cat,unint,rel,plur,The van near the dented taxis,C,D,,0,0,0,0,0,0,1
1020,58,16,4,Cat,unint,rel,sing,The kiwi beside the fake peach,C,D,,0,0,0,0,0,0,1
1022,157,13,2,Cat,unint,unrel,sing,The butterfly by the lively hamster,C,D,,0,0,0,0,0,0,1
1022,144,6,2,Cat,unint,rel,sing,The monastery near the ancient chapel,C,D,,0,0,0,0,0,0,1
1022,132,8,2,Cat,unint,rel,plur,The shovel near the cracked buckets,C,D,,0,0,0,0,0,0,1
1022,141,14,2,Cat,unint,unrel,sing,The tent near the spooky cavern,C,D,,0,0,0,0,0,0,1
1022,86,4,2,Cat,unint,rel,sing,The knife beside the heavy club,C,D,,0,0,0,0,0,0,1
1022,75,7,2,Cat,unint,rel,plur,The rake beside the muddy gloves,C,D,,0,0,0,0,0,0,1
1023,127,19,3,Cat,unint,unrel,sing,The drill by the durable handbag,C,D,,0,0,0,0,0,0,1
1023,73,1,3,Cat,unint,unrel,plur,The fork near the plastic lemons,C,D,,0,0,0,0,0,0,1
1023,164,17,3,Cat,unint,rel,plur,The motorcycle near the painted buses,C,D,,0,0,0,0,0,0,1
1023,52,8,3,Cat,unint,rel,sing,The shovel near the cracked bucket,C,D,,0,0,0,0,0,0,1
1026,109,21,2,Cat,unint,unrel,plur,The futon near the dirty radiators,C,D,,0,0,0,0,0,0,1
1026,41,2,2,Cat,unint,rel,sing,The magazine under the tattered novel,C,D,,0,0,0,0,0,0,1
1026,166,10,2,Cat,unint,rel,plur,The kayak beside the large ferries,C,D,,0,0,0,0,0,0,1
1028,32,19,4,Cat,unint,rel,plur,The drill by the durable hammers,C,D,,0,0,0,0,0,0,1
1032,79,14,4,Cat,unint,rel,sing,The tent near the spooky cabin,C,D,,0,0,0,0,0,0,1
1032,81,10,4,Cat,unint,unrel,plur,The kayak beside the large flagpoles,C,D,,0,0,0,0,0,0,1
1034,80,23,2,Cat,unint,unrel,plur,The saw by the oily rags,C,D,,0,0,0,0,0,0,1
1035,159,20,3,Cat,unint,unrel,sing,The saxophone beside the ornate pillar,C,D,,0,0,0,0,0,0,1
1037,6,10,1,Cat,unint,unrel,sing,The kayak beside the large flagpole,C,D,,0,0,0,0,0,0,1
1038,125,1,2,Cat,unint,rel,sing,The fork near the plastic ladle,C,D,,0,0,0,0,0,0,1
1038,98,17,2,Cat,unint,unrel,sing,The motorcycle near the painted bench,C,D,,0,0,0,0,0,0,1
1041,147,5,1,Cat,unint,rel,plur,The elephant beside the lazy tigers,C,D,,0,0,0,0,0,0,1
1052,142,20,4,Cat,unint,rel,plur,The saxophone beside the ornate pianos,C,D,,0,0,0,0,0,0,1
1053,22,4,1,Cat,unint,rel,plur,The knife beside the heavy clubs,C,D,,0,0,0,0,0,0,1
1056,149,20,4,Cat,unint,rel,plur,The saxophone beside the ornate pianos,C,D,,0,0,0,0,0,0,1
1058,99,22,2,Cat,unint,unrel,plur,The monk near the talkative carpenters,C,D,,0,0,0,0,0,0,1
1059,54,22,3,Cat,unint,unrel,sing,The monk near the talkative carpenter,C,D,,0,0,0,0,0,0,1
1060,164,6,4,Cat,unint,unrel,sing,The monastery near the ancient castle,C,D,,0,0,0,0,0,0,1
1060,99,3,4,Cat,unint,unrel,sing,The robin by the frightened chipmunk,C,D,,0,0,0,0,0,0,1
1060,13,15,4,Cat,unint,rel,sing,The spatula by the greasy strainer,C,D,,0,0,0,0,0,0,1
1060,30,11,4,Cat,unint,unrel,plur,The treasurer beside the eager supporters,C,D,,0,0,0,0,0,0,1
1061,70,20,1,Cat,unint,rel,sing,The saxophone beside the ornate piano,C,D,,0,0,0,0,0,0,1
1064,25,23,4,Cat,unint,rel,plur,The saw by the oily wrenches,C,D,,0,0,0,0,0,0,1
1064,2,9,4,Cat,unint,unrel,plur,The spider by the aggressive bears,C,D,,0,0,0,0,0,0,1
1065,92,8,1,Cat,unint,unrel,sing,The shovel near the cracked boulder,C,D,,0,0,0,0,0,0,1
1069,33,20,1,Cat,unint,rel,sing,The saxophone beside the ornate piano,C,D,,0,0,0,0,0,0,1
1072,68,19,4,Cat,unint,rel,plur,The drill by the durable hammers,C,D,,0,0,0,0,0,0,1
1072,81,1,4,Cat,unint,unrel,sing,The fork near the plastic lemon,C,D,,0,0,0,0,0,0,1
1072,8,4,4,Cat,unint,unrel,sing,The knife beside the heavy can,C,D,,0,0,0,0,0,0,1
1075,43,20,3,Cat,unint,unrel,sing,The saxophone beside the ornate pillar,C,D,,0,0,0,0,0,0,1
1075,146,11,3,Cat,unint,rel,sing,The treasurer beside the eager senator,C,D,,0,0,0,0,0,0,1
1077,148,24,1,Cat,unint,rel,sing,The van near the dented taxi,C,D,,0,0,0,0,0,0,1
1084,78,21,4,Cat,unint,rel,plur,The futon near the dirty recliners,C,D,,0,0,0,0,0,0,1
1084,31,23,4,Cat,unint,rel,plur,The saw by the oily wrenches,C,D,,0,0,0,0,0,0,1
1085,148,12,1,Cat,unint,unrel,sing,The horse beyond the young raven,C,D,,0,0,0,0,0,0,1
1087,54,6,3,Cat,unint,unrel,plur,The monastery near the ancient castles,C,D,,0,0,0,0,0,0,1
1088,13,19,4,Cat,unint,rel,plur,The drill by the durable hammers,C,D,,0,0,0,0,0,0,1
1089,88,19,1,Cat,unint,rel,sing,The drill by the durable hammer,C,D,,0,0,0,0,0,0,1
1089,54,17,1,Cat,unint,unrel,plur,The motorcycle near the painted benches,C,D,,0,0,0,0,0,0,1
1089,148,14,1,Cat,unint,unrel,plur,The tent near the spooky caverns,C,D,,0,0,0,0,0,0,1
1089,65,10,1,Cat,unint,unrel,sing,The kayak beside the large flagpole,C,D,,0,0,0,0,0,0,1
1091,33,8,3,Cat,unint,rel,sing,The shovel near the cracked bucket,C,D,,0,0,0,0,0,0,1
1092,134,14,4,Cat,unint,rel,sing,The tent near the spooky cabin,C,D,,0,0,0,0,0,0,1
1092,76,24,4,Cat,unint,rel,plur,The van near the dented taxis,C,D,,0,0,0,0,0,0,1
1092,67,4,4,Cat,unint,unrel,sing,The knife beside the heavy can,C,D,,0,0,0,0,0,0,1
1093,165,17,1,Cat,unint,unrel,plur,The motorcycle near the painted benches,C,D,,0,0,0,0,0,0,1
1093,66,16,1,Cat,unint,unrel,plur,The kiwi beside the fake plants,C,D,,0,0,0,0,0,0,1
1094,148,17,2,Cat,unint,unrel,sing,The motorcycle near the painted bench,C,D,,0,0,0,0,0,0,1
1094,86,11,2,Cat,unint,rel,plur,The treasurer beside the eager senators,C,D,,0,0,0,0,0,0,1
1095,79,12,3,Cat,unint,rel,sing,The horse beyond the young rabbit,C,D,,0,0,0,0,0,0,1
1095,106,2,3,Cat,unint,unrel,plur,The magazine under the tattered necklaces,C,D,,0,0,0,0,0,0,1
1095,8,9,3,Cat,unint,rel,sing,The spider by the aggressive bee,C,D,,0,0,0,0,0,0,1
1095,77,20,3,Cat,unint,unrel,sing,The saxophone beside the ornate pillar,C,D,,0,0,0,0,0,0,1
1097,85,23,1,Cat,unint,rel,sing,The saw by the oily wrench,C,D,,0,0,0,0,0,0,1
1099,37,3,3,Cat,unint,unrel,plur,The robin by the frightened chipmunks,C,D,,0,0,0,0,0,0,1
1102,93,10,2,Cat,unint,rel,plur,The kayak beside the large ferries,C,D,,0,0,0,0,0,0,1
1103,52,15,3,Cat,unint,rel,plur,The spatula by the greasy strainers,C,D,,0,0,0,0,0,0,1
1103,55,10,3,Cat,unint,rel,sing,The kayak beside the large ferry,C,D,,0,0,0,0,0,0,1
1105,122,20,1,Cat,unint,rel,sing,The saxophone beside the ornate piano,C,D,,0,0,0,0,0,0,1
1107,138,21,3,Cat,unint,unrel,sing,The futon near the dirty radiator,C,D,,0,0,0,0,0,0,1
1108,51,2,4,Cat,unint,unrel,sing,The magazine under the tattered necklace,C,D,,0,0,0,0,0,0,1
1108,149,22,4,Cat,unint,rel,plur,The monk near the talkative cardinals,C,D,,0,0,0,0,0,0,1
1109,53,5,1,Cat,unint,rel,plur,The elephant beside the lazy tigers,C,D,,0,0,0,0,0,0,1
1110,22,23,2,Cat,unint,unrel,plur,The saw by the oily rags,C,D,,0,0,0,0,0,0,1
1111,133,13,3,Cat,unint,rel,plur,The butterfly by the lively hornets,C,D,,0,0,0,0,0,0,1
1112,126,12,4,Cat,unint,unrel,plur,The horse beyond the young ravens,C,D,,0,0,0,0,0,0,1
1112,43,3,4,Cat,unint,unrel,sing,The robin by the frightened chipmunk,C,D,,0,0,0,0,0,0,1
1114,29,4,2,Cat,unint,rel,sing,The knife beside the heavy club,C,D,,0,0,0,0,0,0,1
1115,130,2,3,Cat,unint,unrel,plur,The magazine under the tattered necklaces,C,D,,0,0,0,0,0,0,1
1115,106,17,3,Cat,unint,rel,plur,The motorcycle near the painted buses,C,D,,0,0,0,0,0,0,1
1115,139,16,3,Cat,unint,rel,plur,The kiwi beside the fake peaches,C,D,,0,0,0,0,0,0,1
1115,136,20,3,Cat,unint,unrel,sing,The saxophone beside the ornate pillar,C,D,,0,0,0,0,0,0,1
1121,52,19,1,Cat,unint,rel,sing,The drill by the durable hammer,C,D,,0,0,0,0,0,0,1
1121,86,12,1,Cat,unint,unrel,sing,The horse beyond the young raven,C,D,,0,0,0,0,0,0,1
1122,8,18,2,Cat,unint,unrel,sing,The dorm near the new cafe,C,D,,0,0,0,0,0,0,1
1122,15,19,2,Cat,unint,unrel,plur,The drill by the durable handbags,C,D,,0,0,0,0,0,0,1
1124,116,8,4,Cat,unint,unrel,plur,The shovel near the cracked boulders,C,D,,0,0,0,0,0,0,1
1126,18,13,2,Cat,unint,unrel,sing,The butterfly by the lively hamster,C,D,,0,0,0,0,0,0,1
1127,166,17,3,Cat,unint,rel,plur,The motorcycle near the painted buses,C,D,,0,0,0,0,0,0,1
1127,98,8,3,Cat,unint,rel,sing,The shovel near the cracked bucket,C,D,,0,0,0,0,0,0,1
1127,152,5,3,Cat,unint,unrel,plur,The elephant beside the lazy turtles,C,D,,0,0,0,0,0,0,1
1130,29,24,2,Cat,unint,unrel,plur,The van near the dented trailers,C,D,,0,0,0,0,0,0,1
1004,133,11,4,Cat,unint,unrel,plur,The treasurer beside the eager supporters,X,,,0,0,0,0,1,0,0
1007,32,12,3,Cat,unint,rel,sing,The horse beyond the young rabbit,X,,,0,0,0,0,1,0,0
1015,50,19,3,Cat,unint,unrel,sing,The drill by the durable handbag,X,,,0,0,0,0,1,0,0
1023,59,13,3,Cat,unint,rel,plur,The butterfly by the lively hornets,X,,,0,0,0,0,1,0,0
1023,148,4,3,Cat,unint,unrel,plur,The knife beside the heavy cans,X,,,0,0,0,0,1,0,0
1025,9,3,1,Cat,unint,rel,plur,The robin by the frightened chickens,X,,,0,0,0,0,1,0,0
1025,69,11,1,Cat,unint,unrel,sing,The treasurer beside the eager supporter,X,,,0,0,0,0,1,0,0
1033,83,23,1,Cat,unint,rel,sing,The saw by the oily wrench,X,,,0,0,0,0,1,0,0
1033,129,8,1,Cat,unint,unrel,sing,The shovel near the cracked boulder,X,,,0,0,0,0,1,0,0
1036,66,14,4,Cat,unint,rel,sing,The tent near the spooky cabin,X,,,0,0,0,0,1,0,0
1038,118,21,2,Cat,unint,unrel,plur,The futon near the dirty radiators,X,,,0,0,0,0,1,0,0
1038,137,20,2,Cat,unint,unrel,plur,The saxophone beside the ornate pillars,X,,,0,0,0,0,1,0,0
1043,84,2,3,Cat,unint,unrel,plur,The magazine under the tattered necklaces,X,,,0,0,0,0,1,0,0
1047,27,1,3,Cat,unint,unrel,plur,The fork near the plastic lemons,X,,,0,0,0,0,1,0,0
1048,20,2,4,Cat,unint,unrel,sing,The magazine under the tattered necklace,X,,,0,0,0,0,1,0,0
1062,121,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,X,,,0,0,0,0,1,0,0
1062,43,8,2,Cat,unint,rel,plur,The shovel near the cracked buckets,X,,,0,0,0,0,1,0,0
1064,46,2,4,Cat,unint,unrel,sing,The magazine under the tattered necklace,X,,,0,0,0,0,1,0,0
1067,48,22,3,Cat,unint,unrel,sing,The monk near the talkative carpenter,X,,,0,0,0,0,1,0,0
1067,5,17,3,Cat,unint,rel,plur,The motorcycle near the painted buses,X,,,0,0,0,0,1,0,0
1067,72,9,3,Cat,unint,rel,sing,The spider by the aggressive bee,X,,,0,0,0,0,1,0,0
1067,104,4,3,Cat,unint,unrel,plur,The knife beside the heavy cans,X,,,0,0,0,0,1,0,0
1068,26,7,4,Cat,unint,unrel,plur,The rake beside the muddy graves,X,,,0,0,0,0,1,0,0
1070,61,2,2,Cat,unint,rel,sing,The magazine under the tattered novel,X,,,0,0,0,0,1,0,0
1070,105,24,2,Cat,unint,unrel,plur,The van near the dented trailers,X,,,0,0,0,0,1,0,0
1070,108,16,2,Cat,unint,unrel,sing,The kiwi beside the fake plant,X,,,0,0,0,0,1,0,0
1070,63,4,2,Cat,unint,rel,sing,The knife beside the heavy club,X,,,0,0,0,0,1,0,0
1070,75,10,2,Cat,unint,rel,plur,The kayak beside the large ferries,X,,,0,0,0,0,1,0,0
1086,53,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,X,,,0,0,0,0,1,0,0
1092,161,7,4,Cat,unint,unrel,plur,The rake beside the muddy graves,X,,,0,0,0,0,1,0,0
1094,39,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,X,,,0,0,0,0,1,0,0
1097,18,11,1,Cat,unint,unrel,sing,The treasurer beside the eager supporter,X,,,0,0,0,0,1,0,0
1098,1,16,2,Cat,unint,unrel,sing,The kiwi beside the fake plant,X,,,0,0,0,0,1,0,0
1100,53,13,4,Cat,unint,rel,sing,The butterfly by the lively hornet,X,,,0,0,0,0,1,0,0
1109,66,22,1,Cat,unint,rel,sing,The monk near the talkative cardinal,X,,,0,0,0,0,1,0,0
1109,120,7,1,Cat,unint,unrel,sing,The rake beside the muddy grave,X,,,0,0,0,0,1,0,0
1119,139,23,3,Cat,unint,unrel,sing,The saw by the oily rag,X,,,0,0,0,0,1,0,0
1122,66,5,2,Cat,unint,rel,sing,The elephant beside the lazy tiger,X,,,0,0,0,0,1,0,0
1125,3,19,1,Cat,unint,rel,sing,The drill by the durable hammer,X,,,0,0,0,0,1,0,0
1129,61,22,1,Cat,unint,rel,sing,The monk near the talkative cardinal,X,,,0,0,0,0,1,0,0
1129,141,23,1,Cat,unint,rel,sing,The saw by the oily wrench,X,,,0,0,0,0,1,0,0
1129,154,7,1,Cat,unint,unrel,sing,The rake beside the muddy grave,X,,,0,0,0,0,1,0,0
1001,55,13,1,Cat,unint,unrel,plur,The butterfly by the lively hamsters,U,,,0,0,1,1,0,0,0
1001,60,3,1,Cat,unint,rel,plur,The robin by the frightened chickens,U,,,0,0,1,1,0,0,0
1001,38,24,1,Cat,unint,rel,sing,The van near the dented taxi,U,,,0,0,1,1,0,0,0
1001,73,5,1,Cat,unint,rel,plur,The elephant beside the lazy tigers,U,,,0,0,1,1,0,0,0
1001,102,16,1,Cat,unint,unrel,plur,The kiwi beside the fake plants,U,,,0,0,1,1,0,0,0
1003,34,19,3,Cat,unint,unrel,sing,The drill by the durable handbag,U,,,0,0,1,1,0,0,0
1003,11,8,3,Cat,unint,rel,sing,The shovel near the cracked bucket,U,,,0,0,1,1,0,0,0
1004,54,19,4,Cat,unint,rel,plur,The drill by the durable hammers,U,,,0,0,1,1,0,0,0
1004,63,12,4,Cat,unint,unrel,plur,The horse beyond the young ravens,U,,,0,0,1,1,0,0,0
1004,159,3,4,Cat,unint,unrel,sing,The robin by the frightened chipmunk,U,,,0,0,1,1,0,0,0
1004,6,9,4,Cat,unint,unrel,plur,The spider by the aggressive bears,U,,,0,0,1,1,0,0,0
1004,21,14,4,Cat,unint,rel,sing,The tent near the spooky cabin,U,,,0,0,1,1,0,0,0
1004,4,7,4,Cat,unint,unrel,plur,The rake beside the muddy graves,U,,,0,0,1,1,0,0,0
1005,114,2,1,Cat,unint,rel,plur,The magazine under the tattered novels,U,,,0,0,1,1,0,0,0
1005,41,22,1,Cat,unint,rel,sing,The monk near the talkative cardinal,U,,,0,0,1,1,0,0,0
1005,2,3,1,Cat,unint,rel,plur,The robin by the frightened chickens,U,,,0,0,1,1,0,0,0
1005,86,16,1,Cat,unint,unrel,plur,The kiwi beside the fake plants,U,,,0,0,1,1,0,0,0
1006,141,21,2,Cat,unint,unrel,plur,The futon near the dirty radiators,U,,,0,0,1,1,0,0,0
1006,111,9,2,Cat,unint,rel,plur,The spider by the aggressive bees,U,,,0,0,1,1,0,0,0
1006,73,24,2,Cat,unint,unrel,plur,The van near the dented trailers,U,,,0,0,1,1,0,0,0
1006,76,10,2,Cat,unint,rel,plur,The kayak beside the large ferries,U,,,0,0,1,1,0,0,0
1007,85,9,3,Cat,unint,rel,sing,The spider by the aggressive bee,U,,,0,0,1,1,0,0,0
1008,163,17,4,Cat,unint,rel,sing,The motorcycle near the painted bus,U,,,0,0,1,1,0,0,0
1008,82,23,4,Cat,unint,rel,plur,The saw by the oily wrenches,U,,,0,0,1,1,0,0,0
1008,8,10,4,Cat,unint,unrel,plur,The kayak beside the large flagpoles,U,,,0,0,1,1,0,0,0
1008,167,4,4,Cat,unint,unrel,sing,The knife beside the heavy can,U,,,0,0,1,1,0,0,0
1008,123,20,4,Cat,unint,rel,plur,The saxophone beside the ornate pianos,U,,,0,0,1,1,0,0,0
1008,148,11,4,Cat,unint,unrel,plur,The treasurer beside the eager supporters,U,,,0,0,1,1,0,0,0
1009,103,3,1,Cat,unint,rel,plur,The robin by the frightened chickens,U,,,0,0,1,1,0,0,0
1010,91,13,2,Cat,unint,unrel,sing,The butterfly by the lively hamster,U,,,0,0,1,1,0,0,0
1010,97,12,2,Cat,unint,rel,plur,The horse beyond the young rabbits,U,,,0,0,1,1,0,0,0
1010,150,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,U,,,0,0,1,1,0,0,0
1010,37,4,2,Cat,unint,rel,sing,The knife beside the heavy club,U,,,0,0,1,1,0,0,0
1011,145,13,3,Cat,unint,rel,plur,The butterfly by the lively hornets,U,,,0,0,1,1,0,0,0
1011,99,12,3,Cat,unint,rel,sing,The horse beyond the young rabbit,U,,,0,0,1,1,0,0,0
1011,90,22,3,Cat,unint,unrel,sing,The monk near the talkative carpenter,U,,,0,0,1,1,0,0,0
1011,44,3,3,Cat,unint,unrel,plur,The robin by the frightened chipmunks,U,,,0,0,1,1,0,0,0
1011,50,23,3,Cat,unint,unrel,sing,The saw by the oily rag,U,,,0,0,1,1,0,0,0
1011,156,8,3,Cat,unint,rel,sing,The shovel near the cracked bucket,U,,,0,0,1,1,0,0,0
1011,9,5,3,Cat,unint,unrel,plur,The elephant beside the lazy turtles,U,,,0,0,1,1,0,0,0
1011,27,4,3,Cat,unint,unrel,plur,The knife beside the heavy cans,U,,,0,0,1,1,0,0,0
